N;CODIGO_PAIS;CODIGO_ENTIDAD;PROGRAMA;CODIGO_SNIP;CODIGO_UNIFICADO;NOMBRE;UNIDAD_EJECUTORA;DEPARTAMENTO;PROVINCIA;DISTRITO;POBLACION_BENEFICIADA_SSP;MONTO_ACTUALIZADO _PIP;MODALIDAD_FINANCIAMIENTO;TIPO_EJECUCION;ETAPA_INVERSION;ESTADO;;;;;;;;;
446;PE;11921;PNSU;284322;2242128;MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y DESAGUE EN LA ASOCIACION PRO VIVIENDA MIRAFLORES DEL DISTRITO DE SICUANI, PROVINCIA DE CANCHIS - CUSCO;MUNICIPALIDAD PROVINCIAL DE CANCHIS - SICUANI;CUSCO;CANCHIS;SICUANI;1975;2545205.78;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
447;PE;11922;PNSU;322922;2278021;MEJORAMIENTO Y AMPLIACIÓN  DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL SECTOR NEGRO CANCHA,  ASOCIACIÓN PRO  VIVIENDA WARARI Y ASOCIACIÓN PRO VIVIENDA HUANCAVELICA DE LA COMUNIDAD DE PAMPA PHALLA, DISTRITO DE SICUANI, PROVINCIA DE CANCHIS - CUSCO;MUNICIPALIDAD PROVINCIAL DE CANCHIS - SICUANI;CUSCO;CANCHIS;SICUANI;932;1742917.84;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
448;PE;11923;PNSU;363180;2326664;CREACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN LA APV MAYUPAMPA, CC PAMPA PHALLA DEL DISTRITO DE SICUANI, PROVINCIA DE CANCHIS - CUSCO;EPS EMPSSAPAL S.A.;CUSCO;CANCHIS;SICUANI;1056;1559499.06;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
449;PE;11924;PNSU;67429;2067952;MEJORAMIENTO, AMPLIACION SISTEMA DE SANEAMIENTO BASICO DEL CENTRO POBLADO DE TINTA, PROVINCIA DE CANCHIS - CUSCO;MUNICIPALIDAD DISTRITAL DE TINTA;CUSCO;CANCHIS;TINTA;5343;3259034.95;Transferencia;Directa;OBRA;Convenio Resuelto;;;;;;;;;
450;PE;11925;PNSU;221223;2226077;MEJORAMIENTO Y AMPLIACIÓN  DEL SISTEMA DE AGUA POTABLE Y DESAGÜE EN EL CENTRO POBLADO DE COLQUEMARCA, URB. JUAN VELASCO ALVARADO, URB. HUACCOTO, DEL DISTRITO DE COLQUEMARCA, PROVINCIA DE CHUMBIVILCAS - CUSCO;MUNICIPALIDAD DISTRITAL DE COLQUEMARCA;CUSCO;CHUMBIVILCAS;COLQUEMARCA;4968;13963146.97;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
451;PE;11926;PNSU;44852;2057406;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA Y ALCANTARILLADO DE LA CIUDAD DE SANTO TOMAS DE CHUMBIVILCAS, PROVINCIA DE CHUMBIVILCAS - CUSCO;REGION CUSCO-SEDE CENTRAL;CUSCO;CHUMBIVILCAS;SANTO TOMAS;6440;30832810.26;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
452;PE;11927;PNSU;207440;2204397;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE, ALCANTARILLADO Y PLANTA DE TRATAMIENTO DE LA CAPITAL DE VELILLE, DISTRITO DE VELILLE - CHUMBIVILCAS - CUSCO;MUNICIPALIDAD DISTRITAL DE VELILLE;CUSCO;CHUMBIVILCAS;VELILLE;2878;18777957.62;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
453;PE;11928;PNSU;30355;2030267;RED DE COLECTORES PRIMARIOS;SEDACUSCO S.A;CUSCO;CUSCO;CUSCO;113121;1709257;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
454;PE;11929;PNSU;30357;2030268;MEJORAMIENTO COLECTORES SECUNDARIOS CIUDAD CUSCO;SEDACUSCO S.A;CUSCO;CUSCO;CUSCO;47480;1851647;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
455;PE;11930;PNSU;30412;2030269;AMPLIACION COLECTORES SECUNDARIOS ZONAS JAQUIRA, ALTO SAN SEBASTIAN Y LARAPAC;SEDACUSCO S.A;CUSCO;CUSCO;CUSCO;15915;1460854;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
456;PE;11931;PNSU;30444;2030709;REDES PRIMARIAS Y SECUNDARIAS REDES DE DISTRIBUCION APV FERROVIARIOS, CORAZON DE FATIMA, TICAPATA Y SR. DE ANIMAS;SEDACUSCO S.A;CUSCO;CUSCO;CUSCO;319864;471740;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
457;PE;11932;PNSU;30326;2030708;REFUERZO AL INTERCEPTOR GENERAL;SEDACUSCO S.A;CUSCO;CUSCO;CUSCO;8312;360500;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
458;PE;11933;PNSU;30489;2030273;CONDUCCION DE AGUA TRATADA - LINEA DE IMPULSION EB. QORIPATA RESERVORIO PICCHU - CAMBIO LINEA DE QENQORO II ETAPA - RESERVORIO 12 A APV. PARTE ALTA SAN SEBASTIAN - RESERVORIO HATUN HUAYLLA AL RESERVORIO EL ARCO R-12.;SEDACUSCO S.A.;CUSCO;CUSCO;CUSCO;319864;1453852;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
459;PE;11934;PNSU;113260;2117093;RENOVACION LINEA DE CONDUCCION PIURAY;EPS SEDACUSCO S.A.;CUSCO;CUSCO;CUSCO;121791;53258302.09;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
460;PE;11935;PNSU;355068;2317970;MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE ZONA NOR OCCIDENTAL CIUDAD DEL CUSCO, PROVINCIA, DEPARTAMENTO DEL CUSCO;ENTIDAD MUNICIPAL PRESTADORA DE SERVICIOS DE SANEAMIENTO DEL CUSCO S.A.;CUSCO;CUSCO;CUSCO;36096;10414719.46;Transferencia;Directa;OBRA (SALDO);Concluido;;;;;;;;;
461;PE;11936;PNSU;224323;2251972;INSTALACIÓN NUEVO RESERVORIO PICCHU R-4-CUSCO;ENTIDAD MUNICIPAL PRESTADORA DE SERVICIOS DE SANEAMIENTO DEL CUSCO S.A.;CUSCO;CUSCO;CUSCO;31405;18851038;Transferencia;Directa;OBRA (SALDO);Concluido;;;;;;;;;
462;PE;11937;PNSU;338771;2302290;INSTALACION DE ESTACION DE BOMBEO PARA AGUAS RESIDUALES PILLAO MATAO - PTAR CUSCO DEL DISTRITO DE SAN  JERONIMO;ENTIDAD MUNICIPAL PRESTADORA DE SERVICIOS DE SANEAMIENTO DEL CUSCO S.A. ;CUSCO;CUSCO;SAN JERONIMO;21509;3152696.66;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
463;PE;11938;PNSU;253928;2191845;AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO PARA EL SECTOR DE ALTO QOSQO DISTRITO SAN SEBASTIAN - PROVINCIA DEL CUSCO;MUNICIPALIDAD DISTRITAL DE SAN SEBASTIAN;CUSCO;CUSCO;SAN SEBASTIAN;22919;55717654.88;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
464;PE;11939;PNSU;30436;2030271;ESTACIONES DE BOMBEO ESTACION DE BOMBEO KORIPATA - PICCHU;SEDACUSCO S.A;CUSCO;CUSCO;SANTIAGO;23444;1385486;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
465;PE;11940;PNSU;230893;2251977;MEJORAMIENTO COLECTORES QUEBRADAS CHOCCO, HUAMANCHARPA, QORIMAQWAYNIYOC Y HUANCARO - CUSCO;ENTIDAD MUNICIPAL PRESTADORA DE SERVICIOS DE SANEAMIENTO DEL CUSCO S.A.;CUSCO;CUSCO;TODOS;46550;2582747.98;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
466;PE;11941;PNSU;230824;2235217;MEJORAMIENTO COLECTORES QUEBRADAS SAPHY, AV.SOL,TULLUMAYO Y AV. EJERCITO;MUNICIPALIDAD PROVINCIAL DEL CUSCO;CUSCO;CUSCO;TODOS;148986;22705135.75;Transferencia;Indirecta;OBRA;Contrato Resuelto;;;;;;;;;
467;PE;11942;PNSU;5206;2015662;INTERCEPTOR HUATANAY II ETAPA;SEDACUSCO S.A.;CUSCO;CUSCO;WANCHAQ;0;8456770;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
468;PE;11943;PNSU;212408;2217007;INSTALACION DE COLECTORES MARGEN DERECHA E IZQUIERDA DEL RIO HUATANAY DISTRITOS DE WANCHAQ, SAN SEBASTIAN Y SAN JERONIMO-CUSCO;ENTIDAD MUNICIPAL PRESTADORA DE SERVICIOS DE SANEAMIENTO DEL CUSCO S.A.;CUSCO;CUSCO;WANCHAQ;3069;6350831.99;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
469;PE;11944;PNSU;35798;2037384;MEJORAMIENTO DEL SISTEMA DE AGUA, DESAGUE Y TRATAMIENTO DE AGUAS RESIDUALES DE ESPINAR, PROVINCIA DE ESPINAR - CUSCO;MUNICIPALIDAD PROVINCIAL DE ESPINAR;CUSCO;ESPINAR;ESPINAR;26328;36212991.23;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
470;PE;11945;PNSU;66206;2079199;MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE, DESAGUE Y PLANTA DE TRATAMIENTO EN EL CENTRO POBLADO DE HUYRO , DISTRITO DE HUAYOPATA - LA CONVENCION - CUSCO;MUNICIPALIDAD DISTRITAL DE HUAYOPATA;CUSCO;LA CONVENCION;HUAYOPATA;1699;8439175.75;Transferencia;Indirecta;OBRA;Paralizada;;;;;;;;;
471;PE;11946;PNSU;44751;2047469;AMPLIACION, MEJORAMIENTO DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO DE KIMBIRI, DISTRITO DE KIMBIRI - LA CONVENCION - CUSCO;MUNICIPALIDAD DISTRITAL DE KIMBIRI;CUSCO;LA CONVENCION;KIMBIRI;6770;14838226;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
472;PE;11947;PNSU;265702;2192164;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN EL SECTOR INDUSTRIAL Y LA CAPITAL DEL CENTRO POBLADO DE TAHUANTINSUYO LOBO , DISTRITO DE KIMBIRI - LA CONVENCION - CUSCO;MUNICIPALIDAD DISTRITAL DE KIMBIRI;CUSCO;LA CONVENCION;KIMBIRI;2065;9752740.12;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
473;PE;11948;PNSU;101415;2104776;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE, ALCANTARILLADO Y CONSTRUCCION DE PLANTA DE TRATAMIENTO, LOCALIDAD MARANURA, DISTRITO DE MARANURA - LA CONVENCION - CUSCO;MUNICIPALIDAD DISTRITAL DE MARANURA ;CUSCO;LA CONVENCION;MARANURA;1854;7681622.25;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
474;PE;11949;PNSU;9311;2022722;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA CIUDAD DE QUILLABAMBA;MUNICIPALIDAD PROVINCIAL DE LA CONVENCION;CUSCO;LA CONVENCION;SANTA ANA;41389;43126732.48;Transferencia;;OBRA (Expediente Saldo);En elaboración;;;;;;;;;
475;PE;11950;PNSU;379384;2340591;MEJORAMIENTO, AMPLIACION SERVICIO DE AGUA POTABLE, ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN LA LOCALIDAD DE VILLA VIRGEN, DISTRITO DE VILLA VIRGEN - LA CONVENCION - CUSCO;MUNICIPALIDAD DISTRITAL DE VILLA VIRGEN;CUSCO;LA CONVENCION;VILLA VIRGEN;2361;11729822.9;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
476;PE;11951;PNSU;225083;2217506;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE, ALCANTARILLADO Y PLANTA DE TRATAMIENTO  DE LA CAPITAL DE  CHALLABAMBA, DISTRITO DE CHALLABAMBA - PAUCARTAMBO - CUSCO;MUNICIPALIDAD DISTRITAL DE CHALLABAMBA;CUSCO;PAUCARTAMBO;CHALLABAMBA;875;10541887.07;Transferencia;Indirecta;OBRA;Paralizada;;;;;;;;;
477;PE;11952;PNSU;32705;2030711;AMPLIACION COLECTORES PRIMARIAS Y SECUNDARIOS PAUCARTAMBO;SEDACUSCO S.A;CUSCO;PAUCARTAMBO;PAUCARTAMBO;3800;120000;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
478;PE;11953;PNSU;32787;2030710;AMPLIACION REDES PRIMARIAS PAUCARTAMBO;SEDACUSCO S.A;CUSCO;PAUCARTAMBO;PAUCARTAMBO;3800;224000;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
479;PE;11954;PNSU;32789;2030275;CAPTACION RIO MAPACHO-CONSTRUCCION PREFILTRO RIO PUYUCALLA-CONSTRUCCION LINEA DE IMPULSION- CONSTRUCCION RESERVORIO 400M3;SEDACUSCO S.A;CUSCO;PAUCARTAMBO;PAUCARTAMBO;3800;1069750;Transferencia;Indirecta;OBRA;Contrato Resuelto;;;;;;;;;
480;PE;11955;PNSU;44964;2043380;AMPLIACION Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE, ALCANTARILLADO Y CONSTRUCCION DE PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS EN LA LOCALIDAD DE PAUCARTAMBO;MUNICIPALIDAD PROVINCIAL DE PAUCARTAMBO;CUSCO;PAUCARTAMBO;PAUCARTAMBO;4154;4308546.18;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
481;PE;11956;PNSU;198171;2215675;MEJORAMIENTO Y AMPLIACION DEL SANEAMIENTO BASICO INTEGRAL EN LA CAPITAL DEL DISTRITO DE ANDAHUAYLILLAS, PROVINCIA DE QUISPICANCHI - CUSCO;MUNICIPALIDAD DISTRITAL DE ANDAHUAYLILLAS;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;7027;7882209.72;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
482;PE;11957;PNSU;185629;2215935;MEJORAMIENTO Y AMPLIACION DE SANEAMIENTO BASICO INTEGRAL DE LA LOCALIDAD DE QUINCEMIL - CAMANTI, PROVINCIA DE QUISPICANCHI - CUSCO;GOBIERNO REGIONAL CUSCO-SEDE CENTRAL;CUSCO;QUISPICANCHI;CAMANTI;2130;12388497.44;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
483;PE;11958;PNSU;208984;2215833;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y DESAGUE  EN EL CENTRO POBLADO DE HUARO, DISTRITO DE HUARO, PROVINCIA DE QUISPICANCHI - CUSCO;REGION CUSCO-SEDE CENTRAL;CUSCO;QUISPICANCHI;HUARO;2910;38785482.59;Transferencia;Directa;OBRA;En Ejecución;;;;;;;;;
484;PE;11959;PNSU;233365;2167587;MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE Y DESAGÜE EN EL CENTRO POBLADO DE OROPESA / DISTRITO DE OROPESA, PROVINCIA DE QUISPICANCHI - CUSCO;MUNICIPALIDAD DISTRITAL DE OROPESA;CUSCO;QUISPICANCHI;OROPESA;3559;9046071.96;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
485;PE;11960;PNSU;30316;2226067;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE SANEAMIENTO QUIQUIJANA;MUNICIPALIDAD DISTRITAL DE QUIQUIJANA;CUSCO;QUISPICANCHI;QUIQUIJANA;1432;1554952;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
486;PE;11961;PNSU;124351;2105027;MEJORAMIENTO, AMPLIACION DEL SISTEMA DE SANEAMIENTO BASICO INTEGRAL DE LA MICROCUENCA ANILMAYO, DISTRITO DE QUIQUIJANA - QUISPICANCHI - CUSCO;MUNICIPALIDAD DISTRITAL DE QUIQUIJANA;CUSCO;QUISPICANCHI;QUIQUIJANA;3530;2860273.1;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
487;PE;11962;PNSU;79322;2079141;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA Y DESAGUE URCOS, PROVINCIA DE QUISPICANCHIS - CUSCO (Saldo de Obra);MUNICIPALIDAD PROVINCIAL DE QUISPICANCHIS;CUSCO;QUISPICANCHI;URCOS;6555;9098033.08;Transferencia;Indirecta;OBRA (Expediente Saldo);En elaboración;;;;;;;;;
488;PE;11963;PNSU;30431;2030270;OBRAS DE CAPTACION REHABILITACION MANANTES MAYCHU Y URMANA 1 Y 2 CAPTACION LAGUNA DE PIURAY;SEDACUSCO S.A;CUSCO;URUBAMBA;CHINCHERO;315759;372895.39;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
489;PE;11964;PNSU;32702;2111446;AMPLIACION REDES PRIMARIAS DE AGUA POTABLE URUBAMBA;SEDACUSCO S.A;CUSCO;URUBAMBA;URUBAMBA;8952;224000;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
490;PE;11965;PNSU;32698;2030274;AMPLIACION COLECTORES PRIMARIOS Y SECUNDARIOS - INTERCEPTOR GENERAL - PLANTA DE TRATAMIENTO - LOCALIDAD URUBAMBA;SEDACUSCO S.A;CUSCO;URUBAMBA;URUBAMBA;8952;607000;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
491;PE;11966;PNSU;279172;2194055;AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y DESAGUE  EN LA CIUDAD DE URUBAMBA DEL DISTRITO DE URUBAMBA, PROVINCIA DE URUBAMBA - CUSCO;MUNICIPALIDAD PROVINCIAL DE URUBAMBA;CUSCO;URUBAMBA;URUBAMBA;23033;81772671;Transferencia;Indirecta;EXPEDIENTE TECNICO (SALDO);En elaboración;;;;;;;;;
492;PE;11967;PNSU;8311;2018596;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO DE LA LOCALIDAD DE ACOBAMBA;MUNICIPALIDAD PROVINCIAL DE ACOBAMBA;HUANCAVELICA;ACOBAMBA;ACOBAMBA;2822;2163811;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
493;PE;11968;PNSU;110203;2104775;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO SEGUNDA ETAPA DE LA LOCALIDAD ACOBAMBA, PROVINCIA DE ACOBAMBA - HUANCAVELICA;MUNICIPALIDAD PROVINCIAL DE ACOBAMBA;HUANCAVELICA;ACOBAMBA;ACOBAMBA;4753;9207255.32;Transferencia;Indirecta;OBRA (SALDO);Concluido;;;;;;;;;
494;PE;11969;PNSU;47317;2229795;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y CONSTRUCCION DE ALCANTARILLADO Y LETRINAS DE LA LOCALIDAD DE ANDABAMBA Y CENTROS POBLADOS DE MAYUNMARCA;MUNICIPALIDAD DISTRITAL DE ANDABAMBA;HUANCAVELICA;ACOBAMBA;ANDABAMBA;1971;1225303;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
495;PE;11970;PNSU;147693;2117573;MEJORAMIENTO Y AMPLIACIN DEL SISTEMA DE AGUA POTABLE EN EL CENTO POBLADO RURAL DE HUANCCALLACO Y POBLACION DISPERSA DISTRITO DE CAJA, PROVINCIA DE ACOBAMBA - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE CAJA;HUANCAVELICA;ACOBAMBA;CAJA;2070;731120.7;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
496;PE;11971;PNSU;49674;2064928;AMPLIACION, MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y DESAGUE DE LA LOCALIDAD DE PAUCARA, DISTRITO DE PAUCARA - ACOBAMBA - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE PAUCARA;HUANCAVELICA;ACOBAMBA;PAUCARA;4635;4619335.06;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
497;PE;11972;PNSU;10646;2227246;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y CONSTRUCCION DE LETRINAS DEL DISTRITO DE POMACOCHA Y ANEXOS DE AYAHUASAN, CUSICANCHA, CUICHA Y HUANUPAMPA;MUNICIPALIDAD DISTRITAL DE POMACOCHA;HUANCAVELICA;ACOBAMBA;POMACOCHA;1600;2755537;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
498;PE;11973;PNSU;45331;2044719;MEJORAMIENTO Y CONSTRUCCION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL DISTRITO DE CCOCHACCASA;GOBIERNO REGIONAL HUANCAVELICA;HUANCAVELICA;ANGARAES;CCOCHACCASA;1390;1757466;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
499;PE;11974;PNSU;46524;2064854;INSTALACION DEL SISTEMA DE SANEAMIENTO DE LA COMUNIDAD DE LLAMOCCTACHI CHINCHO, DISTRITO DE CHINCHO - ANGARAES - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE CHINCHO;HUANCAVELICA;ANGARAES;CHINCHO;315;328801;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
500;PE;11975;PNSU;339132;2300975;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO EN LOS BARRIOS ALLPACCOCHA, MANZANAYOCC Y ZONA URBANA DE HUAYLLAY GRANDE, DISTRITO DE HUALLAY GRANDE - ANGARAES - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE HUAYLLAY GRANDE;HUANCAVELICA;ANGARAES;HUAYLLAY GRANDE;480;6903772.12;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
501;PE;11976;PNSU;9928;2019254;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y AMPLIACION DEL SISTEMA DE ALCANTARILLADO EN LA LOCALIDAD DE LIRCAY;GOBIERNO REGIONAL HUANCAVELICA;HUANCAVELICA;ANGARAES;LIRCAY;6106;4033085;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
502;PE;11977;PNSU;51424;2065046;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE TODO EL DISTRITO, DISTRITO DE SECCLLA - ANGARAES - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE SECCLLA;HUANCAVELICA;ANGARAES;SECCLLA;2326;633819;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
503;PE;11978;PNSU;373799;2334657;MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO EN LAS LOCALIDADES DE SINTO PUEBLO NUEVO, ESMERALDA, CASTROVIRREYNA, VISTA ALEGRE, PUCACANCHA Y CAPILLA, DISTRITO DE CASTROVIRREYNA, PROVINCIA DE CASTROVIRREYNA - HUANCAVELICA;MUNICIPALIDAD PROVINCIAL DE CASTROVIRREYNA;HUANCAVELICA;CASTROVIRREYNA;CASTROVIRREYNA;3165;6463768.46;Transferencia;Indirecta;OBRA;Paralizada;;;;;;;;;
504;PE;11979;PNSU;142482;2121773;CONSTRUCCION DE SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO, CON MEJORAS DE CONDUCTAS SALUDABLES PARA LA LOCALIDAD DE CHUPAMARCA, DISTRITO DE CHUPAMARCA - CASTROVIRREYNA - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE CHUPAMARCA;HUANCAVELICA;CASTROVIRREYNA;CHUPAMARCA;630;2067479.1;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
505;PE;11980;PNSU;58176;2065649;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO, DISTRITO DE TANTARA - CASTROVIRREYNA - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE TANTARA ;HUANCAVELICA;CASTROVIRREYNA;TANTARA;1112;1597599.03;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
506;PE;11981;PNSU;7963;2045133;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN LA LOCALIDAD DE TICRAPO;MUNICIPALIDAD DISTRITAL DE TICRAPO;HUANCAVELICA;CASTROVIRREYNA;TICRAPO;1596;1042034;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
507;PE;11982;PNSU;318277;2267208;CREACION DEL SISTEMA DE EVACUACION DE AGUAS PLUVIALES DE LA ZONA URBANO MARGINAL DE QUINTANILLA PAMPA, DISTRITO DE ASCENSION - HUANCAVELICA - HUANCAVELICA;MUNICIPALIDAD DISTRITAL ASCENSION;HUANCAVELICA;HUANCAVELICA;ASCENSION;1250;5339233;Transferencia;Indirecta;OBRA (SALDO);Paralizada;;;;;;;;;
508;PE;11983;PNSU;62500;2066496;AMPLIACION Y MEJORAMIENTO DE REDES DE AGUA POTABLE Y ALCANTARILLADO HUANCAVELICA, PROVINCIA DE HUANCAVELICA - HUANCAVELICA;MUNICIPALIDAD PROVINCIAL DE HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;10322;9639821;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
509;PE;11984;PNSU;9797;2029010;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE HUANDO;MUNICIPALIDAD DISTRITAL DE HUANDO;HUANCAVELICA;HUANCAVELICA;HUANDO;2175;1460482.72;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
510;PE;11985;PNSU;79095;2072161;AMPLIACION Y CONSTRUCCION DEL SISTEMA DE AGUA POTABLE Y SISTEMA DE ALCANTARILLADO, CON PLANTA DE TRATAMIENTO DE LAS AGUAS RESIDUALES DE LA LOCALIDAD DE HUAYLLAHUARA , DISTRITO DE HUAYLLAHUARA - HUANCAVELICA - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE HUAYLLAHUARA;HUANCAVELICA;HUANCAVELICA;HUAYLLAHUARA;2200;4999072.32;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
511;PE;11986;PNSU;13040;2030166;AMPLIACION Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LAS LOCALIDADES DE IZCUCHACA, TENERIA, QUICOS, LARMENTA Y TAMBILLO - HUANCAVELICA;GOBIERNO REGIONAL HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;IZCUCHACA;1422;1908703;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
512;PE;11987;PNSU;169695;2198700;MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO EN LA ZONA URBANA DE IZCUCHACA, DISTRITO DE IZCUCHACA, PROVINCIA DE HUANCAVELICA - HUANCAVELICA;GOBIERNO REGIONAL HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;IZCUCHACA;1346;28854399.68;Transferencia;Directa;OBRA;Paralizada;;;;;;;;;
