N;CODIGO_PAIS;CODIGO_ENTIDAD;PROGRAMA;CODIGO_SNIP;CODIGO_UNIFICADO;NOMBRE;UNIDAD_EJECUTORA;DEPARTAMENTO;PROVINCIA;DISTRITO;POBLACION_BENEFICIADA_SSP;MONTO_ACTUALIZADO _PIP;MODALIDAD_FINANCIAMIENTO;TIPO_EJECUCION;ETAPA_INVERSION;ESTADO;;;;;;;;;
15;PE;11490;PNSU;54325;2061612;MEJORAMIENTO Y AMPLIACIÒN DEL SISTEMA DE AGUA POTABLE DEL DISTRITO DE ASUNCIO GONCHA, DISTRITO DE ASUNCION - CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD DISTRITAL DE ASUNCION;AMAZONAS;CHACHAPOYAS;ASUNCION;360;202,575.00;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
16;PE;11491;PNSU;173784;2140607;MEJORAMIENTO , CONSTRUCCION DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LAS LOCALIDADES DE HORNOPAMPA, BALSAS, CHACANTO -, DISTRITO DE BALSAS - CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD DISTRITAL DE BALSAS;AMAZONAS;CHACHAPOYAS;BALSAS;1060;2,892,598.00;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
17;PE;11492;PNSU;5637;2030328;CANALIZACION QUEBRADA CANCHULHUAYCO - SANTO DOMINGO;GOBIERNO REGIONAL AMAZONAS;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;0;1,866,418.98;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
18;PE;11493;PNSU;27692;2027765;SECTORIZACION DEL SISTEMA DE DISTRIBUCION DE AGUA POTABLE DE CHACHAPOYAS;EMPRESA MUNICIPAL DE SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS S.R.L;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;22094;2,135,621.00;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
19;PE;11494;PNSU;188368;2156742;MEJORAMIENTO AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LOS SECTORES JR. TRES ESQUINAS, JR. AREQUIPA Y JR SANTA ANA DE LA CIUDAD DE CHACHAPOYAS, PROVINCIA DE CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD PROVINCIAL DE CHACHAPOYAS;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;6500;7,358,705.00;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
20;PE;11495;PNSU;182507;2144776;INSTALACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL SECTOR SAN CARLOS DE MURCIA CHACHAPOYAS, PROVINCIA DE CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD PROVINCIAL DE CHACHAPOYAS;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;980;1,595,610.46;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
21;PE;11496;PNSU;48490;2046278;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE MOLINOPAMPA, DISTRITO DE MOLINOPAMPA - CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD DISTRITAL DE MOLINOPAMPA;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1150;1,811,193.00;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
22;PE;11497;PNSU;229654;2226480; MEJORAMIENTO, AMPLIACION Y REHABILITACION DEL SERVICIO DE AGUA POTABLE, ALCANTARILLADO Y TRATAMIENTO DE AGUAS SERVIDAS DE LA CIUDAD DE CHACHAPOYAS, PROVINCIA DE CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD PROVINCIAL DE CHACHAPOYAS ;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;23939;79,433,818.38;Transferencia;Indirecta;OBRA (SALDO);En Ejecución;;;;;;;;;
23;PE;11498;PNSU;55234;2053815;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y AMPLIACION DEL ALCANTARILLADO DE LAS LOCALIDADES DE CHETO Y HUACAPAMPA, PROVINCIA DE CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD PROVINCIAL DE CHACHAPOYAS;AMAZONAS;CHACHAPOYAS;CHETO;720;1,484,481.00;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
24;PE;11499;PNSU;24673;2030779;CONSTRUCCION SISTEMA DE ALCANTARILLADO RURAL DE CUELCHO;MUNICIPALIDAD PROVINCIAL DE CHACHAPOYAS;AMAZONAS;CHACHAPOYAS;CHILIQUIN;150;167,427.29;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
