R1,R2,R3,R4
,,,
,,,
1.268443943119355,1.072471018754189,1.2953144648451156,1.6210172755659202
0.8762369447719645,0.6343218974083653,0.7677329075114736,0.8364751096478966
0.5273904054520548,0.34379778700953284,0.19024859247079945,0.3576792682669797
-0.13578784583118347,-0.3311141816362687,-0.5631352750988459,-0.4462484953386251
-0.9854646302525377,-1.2440987243511819,-1.4992455401250255,-1.1709222200429195
-1.7013755988373123,-2.0545845671062697,-1.8151212955763323,-1.5265559250974805
-1.2945513963377855,-0.6730576522486008,-0.749509243078379,-0.7693696315582698
-0.6302161315164556,-0.21626669317839797,-0.19841383844205546,-0.26697021814497085
-0.17591737916153358,0.07397245459903623,0.12615175422349822,0.10564320535894244
0.5479083458505001,0.4046648887031819,0.5564388960412022,0.6246414041493902
0.7627559655916502,0.6957581624658613,0.9264638916672661,0.9331794119475323
1.2128026493022128,1.2234199087741913,1.4155839118309863,1.3526659959921246
0.9483506648014793,1.215618979573052,1.4422867879984327,1.362974002255222
0.6352138966729327,0.9265474386886386,1.056789541641287,1.0911889642990173
-0.08032393896985718,0.09474053597527508,0.24328795087707414,0.4072236994555917
-0.833283208431696,-1.0561285713353021,-0.9527647240707167,-0.5117643333728535
-1.3291353358019522,-1.8207664361471287,-1.6218252648524278,-1.3672000869415613
-1.3432269472685467,-1.6550595006208122,-1.150857623510611,-1.3609560636864575
-1.0743572642652217,-1.5985851995282305,-1.0950108135258958,-1.6568536392642494
0.08920959733166815,-1.0315401106104771,-0.43209109812374624,-0.7473893840041147
0.2541115678624903,-0.9249027086186534,-0.08992265939063494,-0.22748418069991092
0.7879321925727768,-0.07994861452772806,0.5679211471053686,0.6993612576021309
0.6634350033084595,0.3914422482426491,0.9758332026896512,1.0565457570994372
0.857758597217138,0.7509063516515335,1.145599042041935,1.1045277655285837
1.2048969248474617,0.965738450621319,1.3536087319286485,1.192858210587896
1.0854839494688895,0.9547413521317217,1.2034339961863347,0.9222551302161587
0.7846625866119651,0.6438935831915372,0.8131532649608579,0.6719372646401741
-0.47607211638385116,-0.21886003781186475,-0.2283844334688035,-0.49509972123769586
-1.343226947268547,-1.1882205606730303,-1.3234050302933205,-1.1554466353843138
-1.5524807732883021,-1.7221065104480573,-1.721717230349618,-1.5083061824571073
-1.1037626438439432,-0.7951179105015419,-1.0141457296301453,-0.8833953752805125
-0.6913224672480762,-0.47118272106617276,-0.5260148130081755,-0.5394679727515924
-0.4840585022385452,-0.057162460132863815,-0.035986796407749315,-0.0503124478616122
-0.07309948687965095,0.28406486640117207,0.45889850944263244,0.2259173892209866
0.7323179314569956,0.9639092941480609,1.0361536678885392,0.8891655919335804
1.219759927195654,1.4517240604114217,1.470047686243706,1.595443857989867
1.4914734300970016,1.8083622468984624,1.6864347057228954,1.886318153120569
1.0100557326799688,1.5961299399846998,1.2722924539450298,1.5285798716788719
0.29812862579888366,0.9920976460064181,0.546822565195578,0.5601323956878139
-0.6599295073246371,-0.1192051865184897,-0.6467844744003141,-0.5194049173571398
-0.9596807966231438,-1.3571738833860187,-1.1096470491673491,-0.8996995196646823
-0.7061061900927286,-1.22254479366559,-0.9657823327426011,-0.6818785180294797
